name,foods,price,img_url
雪菜笋丁鸡肉粥+茶叶蛋+饮品随心换,"雪菜笋丁鸡肉粥1份+九龙金玉茶叶蛋1只+早餐饮品1杯（可加价换购）
产品及包装以实物为准",10.5,https://img.4008823823.com.cn/kfcios/Version/744_945368.jpg
潮汕风味干贝大虾粥+油条+饮品随心换,"潮汕风味干贝大虾粥1份+安心大油条1根+早餐饮品1杯（可加价换购）
省是指比菜单单品总价省的金额
产品及包装以实物为准",16.0,https://img.4008823823.com.cn/kfcios/Version/713_857583.jpg
潮汕风味干贝大虾粥,,13.5,https://img.4008823823.com.cn/kfcios/Version/713_857581.jpg
牛肉蛋花粥+油条+饮品随心换,"牛肉蛋花粥1份+配餐1份+早餐饮品1杯（可加价换购）
省是指比菜单单品总价省的金额
产品及包装以实物为准",7.5,https://img.4008823823.com.cn/kfcios/Version/762_991267.jpg
皮蛋瘦肉粥+油条+饮品随心换,"皮蛋瘦肉粥1份+配餐1份+早餐饮品1杯（可加价换购）
省是指比菜单单品总价省的金额
产品及包装以实物为准",5.5,https://img.4008823823.com.cn/kfcios/Version/744_942355.jpg
冬菇滑鸡粥+油条+饮品随心换,"冬菇滑鸡粥1份+配餐1份+早餐饮品1杯（可加价换购）
省是指比菜单单品总价省的金额
产品及包装以实物为准",5.5,https://img.4008823823.com.cn/kfcios/Version/762_991269.jpg
雪菜笋丁鸡肉粥+油条+饮品随心换,"雪菜笋丁鸡肉粥1份+配餐1份+早餐饮品1杯（可加价换购）
省是指比菜单单品总价省的金额
产品及包装以实物为准",3.5,https://img.4008823823.com.cn/kfcios/Version/762_991270.jpg
牛肉蛋花粥,<br>主要原料:大米、牛肉粒、牛肉粥菜块(鸡蛋、木耳、黄花菜、葱)<br>产品及包装以实物为准。,11.5,https://img.4008823823.com.cn/kfcios/Version/604_583116.jpg
DB冬菇滑鸡粥,<br>主要原料:大米、冬菇、鸡肉、生菜<br>产品及包装以实物为准。,9.5,https://img.4008823823.com.cn/kfcios/Version/604_581795.jpg
皮蛋瘦肉粥,<br>主要原料:大米、酱卤瘦肉丝、皮蛋<br>产品及包装以实物为准。,9.5,https://img.4008823823.com.cn/kfcios/Version/604_581269.jpg
雪菜笋丁鸡肉粥,<br>主要原料:大米、雪菜、鸡肉、笋丁、胡萝卜<br>产品及包装以实物为准。,7.5,https://img.4008823823.com.cn/kfcios/Version/604_582233.jpg
九龙金玉茶叶蛋4只装,"九龙金玉茶叶蛋4只装
产品及包装以实物为准",16.0,https://img.4008823823.com.cn/kfcios/Version/762_995425.jpg
原味华夫,<br>主要原料:面粉，糖<br>产品及包装以实物为准。,9.0,https://img.4008823823.com.cn/kfcios/Version/710_845073.jpg
DB葡式蛋挞经典1只装,<br>主要原料:挞皮，蛋液，淡奶油，牛奶<br>产品及包装以实物为准。,8.0,https://img.4008823823.com.cn/kfcios/Version/604_582064.jpg
DB香脆薯饼,<br>主要原料:薯饼<br>产品及包装以实物为准。,7.0,https://img.4008823823.com.cn/kfcios/Version/751_954811.jpg
DB安心大油条,<br>主要原料:油条<br>产品及包装以实物为准。,6.5,https://img.4008823823.com.cn/kfcios/Version/604_580942.jpg
太阳蛋,<br>主要原料:鸡蛋<br>产品及包装以实物为准。,5.5,https://img.4008823823.com.cn/kfcios/Version/604_582264.jpg
咖啡小食随心配,咖啡1杯（可加价换购）+小食1份（可加价换购）<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。,12.0,https://img.4008823823.com.cn/kfcios/Version/751_954493.jpg
双萃澳白(中)(含双份浓缩咖啡),"咖啡豆,牛奶,焦糖风味调味酱 
<br>产品及包装以实物为准",17.0,https://img.4008823823.com.cn/kfcios/Version/758_978889.jpg
D焦糖玛奇朵,产品及包装以实物为准,17.0,https://img.4008823823.com.cn/kfcios/Version/758_982259.jpg
拿铁,<br>主要原料:焙炒咖啡豆，牛奶，水<br>产品及包装以实物为准。,16.0,https://img.4008823823.com.cn/kfcios/Version/758_982261.jpg
美式,<br>主要原料:焙炒咖啡豆、水<br>产品及包装以实物为准。,14.0,https://img.4008823823.com.cn/kfcios/Version/758_982260.jpg
香草风味拿铁,<br>主要原料:焙炒咖啡豆，牛奶，香草风味糖浆，水<br>产品及包装以实物为准。,17.0,https://img.4008823823.com.cn/kfcios/Version/758_982258.jpg
榛果风味拿铁,<br>主要原料:焙炒咖啡豆，牛奶，榛果风味糖浆，水<br>产品及包装以实物为准。,17.0,https://img.4008823823.com.cn/kfcios/Version/758_982262.jpg
冰拿铁,<br>主要原料:焙炒咖啡豆，牛奶，水<br>产品及包装以实物为准。,16.0,https://img.4008823823.com.cn/kfcios/Version/758_982263.jpg
冰美式,<br>主要原料:焙炒咖啡豆、水<br>产品及包装以实物为准。,14.0,https://img.4008823823.com.cn/kfcios/Version/758_982257.jpg
香草风味冰拿铁,<br>主要原料:焙炒咖啡豆，牛奶，香草风味糖浆，水<br>产品及包装以实物为准。,17.0,https://img.4008823823.com.cn/kfcios/Version/758_982255.jpg
榛果风味冰拿铁,<br>主要原料:焙炒咖啡豆，牛奶，榛果风味糖浆，水<br>产品及包装以实物为准。,17.0,https://img.4008823823.com.cn/kfcios/Version/758_982256.jpg
醇豆浆甜(热),主要原料:豆浆粉、水<br>产品及包装以实物为准。,8.5,https://img.4008823823.com.cn/kfcios/Version/713_860045.jpg
DB黑Pro豆浆,<br>主要原料:豆浆粉、水、黑芝麻风味酱<br>产品及包装以实物为准。,9.5,https://img.4008823823.com.cn/kfcios/Version/611_604520.jpg
